state_code,labels,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,is_CA,is_NY,is_MA,is_TX,is_otherstate,is_software,is_web,is_mobile,is_enterprise,is_advertising,is_gamesvideo,is_ecommerce,is_biotech,is_consulting,is_othercategory,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,funding_velocity,funding_per_round,milestone_rate,regulatory_risk_flag,churn_risk_flag
CA,1,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.0,0,439418.79540660884,125000.0,1.4047574452144593,0,0
CA,1,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,4.75,1,8066300.565244506,10025000.0,10.0,0,0
CA,1,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0,1,26000000.0,2600000.0,2.3584905660377364,0,1
CA,1,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3.3333,1,17516202.48730075,13333333.333333334,10.0,0,0
CA,0,0.0,1.6685,0.0384,0.0384,2,2,1300000,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1.0,1,735086.2312694374,650000.0,10.0,0,0
CA,0,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0,1,75000000.0,7500000.0,10.0,0,0
CA,1,1.7205,5.211,3.0,6.6082,6,3,26000000,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6667,1,7241331.290906558,8666666.666666666,0.5393452348848498,0,0
CA,1,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,3.5,1,6538830.2972195605,11366666.666666666,1.6162922256343946,0,0
MA,1,3.5863,11.1123,8.0055,9.9945,13,3,9650000,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,4.0,1,1265407.8153684763,3216666.6666666665,1.9147917663954037,0,0
CA,1,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.0,1,1846677.5861515237,1916666.6666666667,1.2131137597428199,0,1
CA,1,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,5587273.207501169,9166666.666666666,4.877255730775481,0,0
CA,0,1.0849,5.337,-0.6164,4.6082,8,5,10400000,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1.75,1,2389650.9730934496,2080000.0,0.37561506967659547,0,1
KY,0,4.9041,4.9041,0.0,0.0,0,1,350000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0,3500000.0,350000.0,0.0,0,1
NY,1,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2.3333,1,3954061.357494834,3316666.6666666665,0.8144206754262135,0,0
CO,1,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5,1,2414532.3253977215,2140000.0,10.0,0,0
VA,0,6.6082,6.6082,0.0,0.0,0,1,200000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,0,2000000.0,200000.0,0.0,0,0
CA,0,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,3.5,1,11453682.709614081,9800000.0,10.0,0,0
CA,1,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,3.5,1,9325574.455386452,6250000.0,0.22593593962991693,0,0
NY,1,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,1,4875839.283811148,1525000.0,1.6503465727802837,0,1
CA,0,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.0,1,65313739.21156987,14000000.0,5.934718100890208,0,0
TX,1,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1.5,0,2603730.718641635,2177500.0,0.544375691810775,0,0
WA,0,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0,1,150000000.0,15000000.0,10.0,0,0
